repository_name,site,views,unique_visitors/cloners
embedded-banking,Bing,1,1
embedded-banking,Google,70,18
embedded-banking,bitbucketdc-cluster07.jpmchase.net,2,1
embedded-banking,com.google.android.gm,1,1
embedded-banking,confluence.prod.aws.jpmchase.net,2,1
embedded-banking,confluence.walmart.com,8,1
embedded-banking,developer.payments.jpmorgan.com,16,4
embedded-banking,eb-component-showcase.apps.dev.na-9z.gap.jpmchase.net,2,1
embedded-banking,eb-components-demo.apps.dev.na-1z.gap.jpmchase.net,12,2
embedded-banking,embedded-banking-dev.com,2,1
embedded-banking,embedded-banking-showcase.apps.dev.na-1z.gap.jpmchase.net,4,1
embedded-banking,github.com,93,11
embedded-banking,jiradc-cib-cluster02.prod.aws.jpmchase.net,1,1
embedded-banking,online-payments-dev.com,2,1
embedded-banking,opensourceindex.io,1,1
embedded-banking,payments-preview.prod.aws.jpmchase.net,1,1
embedded-banking,statics.teams.cdn.office.net,1,1
embedded-banking,teams.microsoft.com,8,1
embedded-banking,theforage.com,4,1
