repository_name,date,views,unique_visitors/cloners
embedded-banking,2024-01-17,8,2
embedded-banking,2024-01-18,24,3
embedded-banking,2024-01-19,57,6
embedded-banking,2024-01-20,7,2
embedded-banking,2024-01-21,1,1
embedded-banking,2024-01-22,99,7
embedded-banking,2024-01-23,6,5
embedded-banking,2024-01-24,14,2
embedded-banking,2024-01-25,47,9
embedded-banking,2024-01-26,14,3
embedded-banking,2024-01-27,1,1
embedded-banking,2024-01-28,30,1
embedded-banking,2024-01-29,62,10
embedded-banking,2024-01-30,15,2
embedded-banking,2024-01-31,43,5
embedded-banking,2024-02-01,107,6
embedded-banking,2024-02-02,86,11
embedded-banking,2024-02-03,2,2
embedded-banking,2024-02-05,45,8
embedded-banking,2024-02-06,59,12
embedded-banking,2024-02-07,69,7
embedded-banking,2024-02-08,12,7
embedded-banking,2024-02-09,33,8
embedded-banking,2024-02-10,1,1
embedded-banking,2024-02-11,1,1
embedded-banking,2024-02-12,28,4
embedded-banking,2024-02-13,10,4
embedded-banking,2024-02-14,6,3
embedded-banking,2024-02-15,5,3
embedded-banking,2024-02-16,23,5
embedded-banking,2024-02-19,1,1
embedded-banking,2024-02-20,28,7
embedded-banking,2024-02-21,53,8
embedded-banking,2024-02-22,31,9
embedded-banking,2024-02-23,73,3
embedded-banking,2024-02-24,7,2
embedded-banking,2024-02-26,33,7
embedded-banking,2024-02-27,3,2
embedded-banking,2024-02-28,36,10
embedded-banking,2024-02-29,18,5
embedded-banking,2024-03-01,4,3
embedded-banking,2024-03-02,1,1
